               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11665,              0.0305,                   0,                   0,                   0,                   0,                   0,             0.10939,            0.030304,                   0,              0.0874,              0.0014,              0.0014
                   1,             0.10876,            0.028331,                   0,          0.00033333,            0.048387,          0.00018519,          3.3109e-05,             0.10487,            0.031418,                   0,             0.07389,           0.0028904,           0.0028904
                   2,             0.10116,            0.029232,                   0,          0.00055556,            0.080645,          0.00041918,          0.00010471,            0.099288,            0.032936,                   0,            0.060371,            0.004371,            0.004371
                   3,            0.096402,            0.029591,                   0,          0.00077778,              0.1129,          0.00047269,          0.00013931,             0.09621,             0.03368,                   0,            0.046842,           0.0058416,           0.0058416
                   4,            0.094247,            0.027883,                   0,          0.00083333,             0.12097,          0.00058512,          0.00017498,              0.0945,            0.034294,                   0,            0.033302,           0.0073023,           0.0073023
                   5,            0.090717,            0.027889,                   0,          0.00083333,             0.12097,           0.0010456,           0.0002825,            0.091987,             0.03458,                   0,            0.019753,           0.0087532,           0.0087532
                   6,            0.088218,            0.026662,                   0,           0.0017222,                0.25,           0.0023522,          0.00058338,            0.090276,            0.032925,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.086456,            0.026514,                   0,           0.0024444,             0.35484,           0.0041703,          0.00099241,            0.094543,            0.029861,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.083359,            0.023994,                   0,           0.0023889,             0.34677,           0.0048549,           0.0010267,            0.096974,            0.025723,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.081754,            0.023204,                   0,             0.16143,            0.072581,            0.060236,             0.01486,            0.082671,            0.028069,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.079732,            0.022456,                   0,            0.092291,             0.10484,            0.046892,            0.012253,             0.08284,            0.028023,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.078449,            0.022581,                   0,             0.23433,              0.1129,             0.10038,             0.02935,            0.078133,            0.026764,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.07415,            0.022071,                   0,             0.15475,             0.21774,            0.095398,            0.029214,            0.071347,            0.028193,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.075559,            0.022831,                   0,             0.16733,                0.25,               0.102,             0.02494,            0.077079,            0.025198,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.072163,            0.020893,                   0,             0.21396,             0.27419,              0.1317,            0.040531,            0.071882,             0.02702,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.067943,            0.021567,                   0,             0.14119,             0.28226,             0.10383,            0.033294,            0.071631,             0.02737,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.06894,            0.020194,                   0,             0.14468,             0.20161,            0.064389,            0.017284,            0.078825,            0.027166,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.06946,            0.021242,                   0,             0.19489,              0.2538,             0.11234,            0.030521,            0.074442,            0.025036,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.068586,            0.020256,                   0,             0.24494,             0.25806,             0.17025,            0.057227,            0.068902,            0.027105,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.067314,            0.018755,                   0,             0.23194,             0.21433,             0.12702,            0.036555,            0.073958,            0.027943,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.066898,            0.019389,                   0,             0.34208,             0.26613,             0.20031,            0.063659,            0.067606,            0.026724,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.064807,            0.020683,                   0,             0.36553,             0.39516,             0.31122,            0.090994,             0.06141,            0.025085,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.064624,            0.019691,                   0,             0.30649,              0.3871,             0.25677,            0.086449,            0.061074,            0.026485,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.064719,            0.019335,                   0,             0.38986,             0.33065,             0.31403,            0.086607,             0.06147,            0.025925,                   0,            0.009274,            0.009274,            0.009274
                  24,             0.06194,            0.019504,                   0,             0.38814,             0.54032,              0.3465,             0.11936,            0.060182,            0.024757,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.062586,            0.018824,                   0,             0.39104,             0.44355,             0.34136,            0.093505,             0.06049,            0.024532,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.060127,            0.019442,                   0,             0.38553,             0.45968,             0.34348,             0.11959,            0.060425,            0.024321,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.060836,            0.018403,                   0,             0.36663,             0.33871,             0.25233,            0.081393,            0.068908,            0.023436,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.061128,            0.019749,                   0,             0.40618,              0.3871,             0.27009,            0.080593,             0.06613,            0.023207,                   0,            0.009109,            0.009109,            0.009109
                  29,              0.0588,            0.018186,                   0,              0.3789,             0.40323,             0.29158,             0.10045,            0.062135,            0.025417,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.05979,            0.018104,                   0,             0.46719,             0.28226,             0.29069,            0.093496,            0.065055,            0.024069,                   0,            0.009043,            0.009043,            0.009043
                  31,             0.05931,            0.018949,                   0,             0.33634,             0.36375,             0.27637,            0.071957,            0.063988,            0.023436,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.058257,            0.018448,                   0,              0.4734,             0.45161,             0.38305,             0.12799,            0.057435,            0.023682,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.057992,            0.017439,                   0,             0.41275,             0.45161,             0.37439,             0.13055,            0.059553,            0.024904,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.057134,             0.01795,                   0,             0.30806,             0.25806,             0.19791,            0.066314,            0.068808,            0.025637,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.059648,            0.019114,                   0,             0.45492,             0.37903,             0.31604,            0.093201,            0.060062,            0.024189,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.054401,            0.018062,                   0,             0.52953,             0.44355,             0.42811,             0.15792,            0.057148,            0.024567,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.053992,             0.01786,                   0,             0.34366,             0.45161,             0.30621,            0.098256,            0.057696,            0.025887,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.055067,            0.018267,                   0,             0.41638,             0.49194,             0.42257,             0.13246,            0.057285,            0.023005,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.055749,            0.018307,                   0,              0.5306,             0.51962,             0.50861,             0.16808,            0.057354,            0.022556,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.054196,            0.017088,                   0,             0.48792,             0.44355,             0.43245,             0.15041,            0.054924,             0.02354,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.054715,            0.017342,                   0,             0.48379,             0.56452,             0.51542,             0.17593,            0.054811,            0.022717,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.05412,            0.017701,                   0,              0.5675,             0.51852,              0.4893,             0.17262,            0.055136,            0.022564,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.054834,             0.01769,                   0,             0.39526,             0.43223,             0.36192,             0.12187,            0.057273,            0.025536,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.054318,            0.017016,                   0,             0.49097,             0.56005,             0.46187,             0.18284,            0.052525,            0.023743,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.052885,            0.017056,                   0,             0.52462,             0.49194,             0.47981,             0.17171,            0.052964,            0.024723,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.051971,             0.01763,                   0,              0.4914,             0.45968,             0.45228,             0.16931,            0.053699,            0.022846,                   0,            0.008515,            0.008515,            0.008515
                  47,              0.0552,            0.016887,                   0,             0.62016,             0.48387,             0.51563,             0.17731,            0.053199,            0.022144,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.052928,            0.018178,                   0,             0.56524,             0.53475,              0.5182,             0.18648,            0.052229,            0.022755,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.053575,            0.015806,                   0,             0.59513,             0.54032,             0.54369,             0.20996,            0.052973,             0.02239,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.053809,            0.015925,                   0,             0.46314,             0.52419,             0.45702,             0.18242,            0.054621,            0.022409,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.050627,            0.015952,                   0,             0.51003,              0.5037,             0.47573,             0.18173,            0.052941,            0.024178,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.051122,            0.017054,                   0,              0.5132,             0.46774,             0.45377,              0.1667,            0.054498,            0.023592,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.052348,            0.017221,                   0,             0.64712,             0.49194,             0.53564,             0.17942,            0.054185,            0.022676,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.050146,            0.016568,                   0,             0.46133,              0.5249,             0.46772,             0.15174,             0.05837,            0.022655,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.051164,            0.017499,                   0,             0.42506,             0.53226,             0.40514,             0.12369,            0.058957,            0.022926,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.049143,             0.01741,                   0,             0.51202,             0.53311,             0.49609,             0.15996,            0.057591,             0.02211,                   0,            0.008185,            0.008185,            0.008185
